"Organization","BSChange","Years","Scenario","Months","BalanceSheet","Value"
"101","Balance","FY1","Actual","Jan","Common Shares Outstanding","20000"
"101","Balance","FY1","Actual","Jan","Options Outstanding","1000"
"101","Balance","FY1","Actual","Feb","Common Shares Outstanding","20000"
"101","Balance","FY1","Actual","Feb","Options Outstanding","1000"
"101","Balance","FY1","Actual","Mar","Common Shares Outstanding","20000"
"101","Balance","FY1","Actual","Mar","Options Outstanding","1000"
"101","Balance","FY1","Actual","Apr","Common Shares Outstanding","20000"
"101","Balance","FY1","Actual","Apr","Options Outstanding","1000"
"101","Balance","FY1","Actual","May","Common Shares Outstanding","20000"
"101","Balance","FY1","Actual","May","Options Outstanding","1000"
"101","Balance","FY1","Actual","Jun","Common Shares Outstanding","20000"
"101","Balance","FY1","Actual","Jun","Options Outstanding","1000"
"101","Balance","FY1","Actual","Jul","Common Shares Outstanding","20000"
"101","Balance","FY1","Actual","Jul","Options Outstanding","1000"
"101","Balance","FY1","Actual","Aug","Common Shares Outstanding","20000"
"101","Balance","FY1","Actual","Aug","Options Outstanding","1000"
"101","Balance","FY1","Actual","Sep","Common Shares Outstanding","20000"
"101","Balance","FY1","Actual","Sep","Options Outstanding","1000"
"101","Balance","FY1","Actual","Oct","Common Shares Outstanding","20000"
"101","Balance","FY1","Actual","Oct","Options Outstanding","1000"
"101","Balance","FY1","Actual","Nov","Common Shares Outstanding","20000"
"101","Balance","FY1","Actual","Nov","Options Outstanding","1000"
"101","Balance","FY1","Actual","Dec","Common Shares Outstanding","20000"
"101","Balance","FY1","Actual","Dec","Options Outstanding","1000"
"101","Balance","FY1","Budget","Jan","Common Shares Outstanding","20000"
"101","Balance","FY1","Budget","Jan","Options Outstanding","1000"
"101","Balance","FY1","Budget","Feb","Common Shares Outstanding","20000"
"101","Balance","FY1","Budget","Feb","Options Outstanding","1000"
"101","Balance","FY1","Budget","Mar","Common Shares Outstanding","20000"
"101","Balance","FY1","Budget","Mar","Options Outstanding","1000"
"101","Balance","FY1","Budget","Apr","Common Shares Outstanding","20000"
"101","Balance","FY1","Budget","Apr","Options Outstanding","1000"
"101","Balance","FY1","Budget","May","Common Shares Outstanding","20000"
"101","Balance","FY1","Budget","May","Options Outstanding","1000"
"101","Balance","FY1","Budget","Jun","Common Shares Outstanding","20000"
"101","Balance","FY1","Budget","Jun","Options Outstanding","1000"
"101","Balance","FY1","Budget","Jul","Common Shares Outstanding","20000"
"101","Balance","FY1","Budget","Jul","Options Outstanding","1000"
"101","Balance","FY1","Budget","Aug","Common Shares Outstanding","20000"
"101","Balance","FY1","Budget","Aug","Options Outstanding","1000"
"101","Balance","FY1","Budget","Sep","Common Shares Outstanding","20000"
"101","Balance","FY1","Budget","Sep","Options Outstanding","1000"
"101","Balance","FY1","Budget","Oct","Common Shares Outstanding","20000"
"101","Balance","FY1","Budget","Oct","Options Outstanding","1000"
"101","Balance","FY1","Budget","Nov","Common Shares Outstanding","20000"
"101","Balance","FY1","Budget","Nov","Options Outstanding","1000"
"101","Balance","FY1","Budget","Dec","Common Shares Outstanding","20000"
"101","Balance","FY1","Budget","Dec","Options Outstanding","1000"
"101","Balance","FY1","Current Forecast","Jan","Common Shares Outstanding","20000"
"101","Balance","FY1","Current Forecast","Jan","Options Outstanding","1000"
"101","Balance","FY1","Current Forecast","Feb","Common Shares Outstanding","20000"
"101","Balance","FY1","Current Forecast","Feb","Options Outstanding","1000"
"101","Balance","FY1","Current Forecast","Mar","Common Shares Outstanding","20000"
"101","Balance","FY1","Current Forecast","Mar","Options Outstanding","1000"
"101","Balance","FY1","Current Forecast","Apr","Common Shares Outstanding","20000"
"101","Balance","FY1","Current Forecast","Apr","Options Outstanding","1000"
"101","Balance","FY1","Current Forecast","May","Common Shares Outstanding","20000"
"101","Balance","FY1","Current Forecast","May","Options Outstanding","1000"
"101","Balance","FY1","Current Forecast","Jun","Common Shares Outstanding","20000"
"101","Balance","FY1","Current Forecast","Jun","Options Outstanding","1000"
"101","Balance","FY1","Current Forecast","Jul","Common Shares Outstanding","20000"
"101","Balance","FY1","Current Forecast","Jul","Options Outstanding","1000"
"101","Balance","FY1","Current Forecast","Aug","Common Shares Outstanding","20000"
"101","Balance","FY1","Current Forecast","Aug","Options Outstanding","1000"
"101","Balance","FY1","Current Forecast","Sep","Common Shares Outstanding","20000"
"101","Balance","FY1","Current Forecast","Sep","Options Outstanding","1000"
"101","Balance","FY1","Current Forecast","Oct","Common Shares Outstanding","20000"
"101","Balance","FY1","Current Forecast","Oct","Options Outstanding","1000"
"101","Balance","FY1","Current Forecast","Nov","Common Shares Outstanding","20000"
