DateKey,DateAltKey,CalendarYear,CalendarQuarter,MonthOfYear,MonthName,DayOfMonth,DayOfWeek,DayName,FiscalYear,FiscalQuarter
20050404,2005-04-04 00:00:00.000,2005,2,4,April,4,2,Monday,2005,4
20050713,2005-07-13 00:00:00.000,2005,3,7,July,13,4,Wednesday,2006,1
20051014,2005-10-14 00:00:00.000,2005,4,10,October,14,6,Friday,2006,2
20060113,2006-01-13 00:00:00.000,2006,1,1,January,13,6,Friday,2006,3
20060417,2006-04-17 00:00:00.000,2006,2,4,April,17,2,Monday,2006,4
20060726,2006-07-26 00:00:00.000,2006,3,7,July,26,4,Wednesday,2007,1
20061026,2006-10-26 00:00:00.000,2006,4,10,October,26,5,Thursday,2007,2
20070125,2007-01-25 00:00:00.000,2007,1,1,January,25,5,Thursday,2007,3
20070430,2007-04-30 00:00:00.000,2007,2,4,April,30,2,Monday,2007,4
20070808,2007-08-08 00:00:00.000,2007,3,8,August,8,4,Wednesday,2008,1
20071108,2007-11-08 00:00:00.000,2007,4,11,November,8,5,Thursday,2008,2
20080207,2008-02-07 00:00:00.000,2008,1,2,February,7,5,Thursday,2008,3
20080513,2008-05-13 00:00:00.000,2008,2,5,May,13,3,Tuesday,2008,4
20080820,2008-08-20 00:00:00.000,2008,3,8,August,20,4,Wednesday,2009,1
20081119,2008-11-19 00:00:00.000,2008,4,11,November,19,4,Wednesday,2009,2
20090218,2009-02-18 00:00:00.000,2009,1,2,February,18,4,Wednesday,2009,3
20090527,2009-05-27 00:00:00.000,2009,2,5,May,27,4,Wednesday,2009,4
20090902,2009-09-02 00:00:00.000,2009,3,9,September,2,4,Wednesday,2010,1
20091202,2009-12-02 00:00:00.000,2009,4,12,December,2,4,Wednesday,2010,2
20100304,2010-03-04 00:00:00.000,2010,1,3,March,4,5,Thursday,2010,3
20100611,2010-06-11 00:00:00.000,2010,2,6,June,11,6,Friday,2010,4
20100915,2010-09-15 00:00:00.000,2010,3,9,September,15,4,Wednesday,2011,1
20101215,2010-12-15 00:00:00.000,2010,4,12,December,15,4,Wednesday,2011,2
20110317,2011-03-17 00:00:00.000,2011,1,3,March,17,5,Thursday,2011,3
20110624,2011-06-24 00:00:00.000,2011,2,6,June,24,6,Friday,2011,4
20110927,2011-09-27 00:00:00.000,2011,3,9,September,27,3,Tuesday,2012,1
20111227,2011-12-27 00:00:00.000,2011,4,12,December,27,3,Tuesday,2012,2
20120329,2012-03-29 00:00:00.000,2012,1,3,March,29,5,Thursday,2012,3
20120707,2012-07-07 00:00:00.000,2012,3,7,July,7,7,Saturday,2013,1
20121009,2012-10-09 00:00:00.000,2012,4,10,October,9,3,Tuesday,2013,2
20130108,2013-01-08 00:00:00.000,2013,1,1,January,8,3,Tuesday,2013,3
20130412,2013-04-12 00:00:00.000,2013,2,4,April,12,6,Friday,2013,4
20130721,2013-07-21 00:00:00.000,2013,3,7,July,21,1,Sunday,2014,1
20131022,2013-10-22 00:00:00.000,2013,4,10,October,22,3,Tuesday,2014,2
20140121,2014-01-21 00:00:00.000,2014,1,1,January,21,3,Tuesday,2014,3
20140426,2014-04-26 00:00:00.000,2014,2,4,April,26,7,Saturday,2014,4
20140804,2014-08-04 00:00:00.000,2014,3,8,August,4,2,Monday,2015,1
20141104,2014-11-04 00:00:00.000,2014,4,11,November,4,3,Tuesday,2015,2
20150203,2015-02-03 00:00:00.000,2015,1,2,February,3,3,Tuesday,2015,3
20150510,2015-05-10 00:00:00.000,2015,2,5,May,10,1,Sunday,2015,4
20150817,2015-08-17 00:00:00.000,2015,3,8,August,17,2,Monday,2016,1
20151116,2015-11-16 00:00:00.000,2015,4,11,November,16,2,Monday,2016,2
20160215,2016-02-15 00:00:00.000,2016,1,2,February,15,2,Monday,2016,3
20160216,2016-02-16 00:00:00.000,2016,1,2,February,16,3,Tuesday,2016,3
20160217,2016-02-17 00:00:00.000,2016,1,2,February,17,4,Wednesday,2016,3
20160218,2016-02-18 00:00:00.000,2016,1,2,February,18,5,Thursday,2016,3
