"Date	Price	Open	High	Low	Change %"
"Mar 01, 2019	1.1377	1.1372	1.141	1.1353	0.05%"
"Feb 28, 2019	1.1371	1.1371	1.1421	1.1357	0.02%"
"Feb 27, 2019	1.1369	1.1396	1.1404	1.136	-0.16%"
"Feb 26, 2019	1.1387	1.1366	1.1404	1.1343	0.25%"
"Feb 25, 2019	1.1359	1.1338	1.1369	1.1323	0.14%"
"Feb 22, 2019	1.1343	1.1337	1.136	1.1315	0.06%"
"Feb 21, 2019	1.1336	1.1338	1.1368	1.132	-0.01%"
"Feb 20, 2019	1.1337	1.1342	1.1374	1.1324	-0.04%"
"Feb 19, 2019	1.1341	1.131	1.1358	1.1274	0.27%"
"Feb 18, 2019	1.1311	1.1288	1.1337	1.1284	0.14%"
"Feb 15, 2019	1.1295	1.1295	1.1313	1.1233	-0.05%"
"Feb 14, 2019	1.1301	1.1262	1.1313	1.1247	0.30%"
"Feb 13, 2019	1.1267	1.1326	1.1346	1.126	-0.51%"
"Feb 12, 2019	1.1325	1.128	1.1342	1.1256	0.43%"
"Feb 11, 2019	1.1276	1.1328	1.1331	1.1264	-0.48%"
"Feb 08, 2019	1.133	1.1346	1.1355	1.132	-0.10%"
"Feb 07, 2019	1.1341	1.136	1.1375	1.1322	-0.18%"
"Feb 06, 2019	1.1362	1.1406	1.142	1.1359	-0.46%"
"Feb 05, 2019	1.1415	1.1442	1.1456	1.14	-0.20%"
"Feb 04, 2019	1.1438	1.1457	1.1467	1.1421	-0.16%"
"Feb 01, 2019	1.1456	1.1447	1.149	1.1433	0.09%"
"Jan 31, 2019	1.1446	1.148	1.1517	1.1434	-0.29%"
"Jan 30, 2019	1.1479	1.1433	1.1503	1.1404	0.41%"
"Jan 29, 2019	1.1432	1.1428	1.1453	1.141	-0.02%"
"Jan 28, 2019	1.1434	1.1404	1.1445	1.1388	0.17%"
"Jan 25, 2019	1.1415	1.1306	1.1421	1.1298	0.96%"
"Jan 24, 2019	1.1306	1.138	1.1398	1.1287	-0.66%"
"Jan 23, 2019	1.1381	1.1358	1.1397	1.1348	0.19%"
"Jan 22, 2019	1.1359	1.1365	1.1386	1.1334	-0.06%"
"Jan 21, 2019	1.1366	1.1371	1.1409	1.1355	0.03%"
"Jan 18, 2019	1.1363	1.1389	1.1413	1.1352	-0.31%"
"Jan 17, 2019	1.1398	1.1396	1.141	1.1369	-0.02%"
"Jan 16, 2019	1.14	1.1414	1.1429	1.1377	-0.15%"
"Jan 15, 2019	1.1417	1.1473	1.1494	1.1381	-0.52%"
"Jan 14, 2019	1.1477	1.1471	1.1485	1.144	0.07%"
"Jan 11, 2019	1.1469	1.1499	1.1542	1.1457	-0.27%"
"Jan 10, 2019	1.15	1.1542	1.1572	1.1485	-0.37%"
"Jan 09, 2019	1.1543	1.1444	1.1556	1.1435	0.88%"
"Jan 08, 2019	1.1442	1.1476	1.1487	1.1422	-0.30%"
"Jan 07, 2019	1.1476	1.1392	1.1485	1.1392	0.71%"
"Jan 04, 2019	1.1395	1.1393	1.1422	1.1345	0.01%"
"Jan 03, 2019	1.1394	1.1345	1.1413	1.1309	0.45%"
"Jan 02, 2019	1.1343	1.1464	1.1499	1.1325	-1.06%"
"Jan 01, 2019	1.1464	1.1466	1.1481	1.1425	-0.05%"
"Dec 31, 2018	1.147	1.1443	1.147	1.1421	0.28%"
"Dec 28, 2018	1.1438	1.1429	1.1478	1.1424	0.07%"
"Dec 27, 2018	1.143	1.1353	1.1457	1.1349	0.68%"
"Dec 26, 2018	1.1353	1.1363	1.1423	1.1342	-0.08%"
"Dec 25, 2018	1.1362	1.14	1.1429	1.1361	-0.33%"
"Dec 24, 2018	1.14	1.137	1.1439	1.135	0.27%"
"Dec 21, 2018	1.1369	1.1447	1.1477	1.1353	-0.67%"
"Dec 20, 2018	1.1446	1.1377	1.1487	1.1371	0.61%"
"Dec 19, 2018	1.1377	1.1361	1.1442	1.136	0.14%"
"Dec 18, 2018	1.1361	1.1346	1.1402	1.1336	0.12%"
"Dec 17, 2018	1.1347	1.1308	1.136	1.1299	0.34%"
"Dec 14, 2018	1.1309	1.1362	1.1374	1.1268	-0.48%"
"Dec 13, 2018	1.1363	1.1369	1.1396	1.133	-0.04%"
"Dec 12, 2018	1.1368	1.1317	1.1388	1.1312	0.46%"
"Dec 11, 2018	1.1316	1.1361	1.1402	1.1304	-0.35%"
"Dec 10, 2018	1.1356	1.1401	1.1444	1.1349	-0.19%"
"Dec 07, 2018	1.1378	1.1377	1.1425	1.1359	0.02%"
"Dec 06, 2018	1.1376	1.1345	1.1414	1.1321	0.28%"
"Dec 05, 2018	1.1344	1.1342	1.1361	1.1309	-0.01%"
"Dec 04, 2018	1.1345	1.1354	1.1421	1.1318	-0.08%"
"Dec 03, 2018	1.1354	1.1315	1.1382	1.1315	0.33%"
"Nov 30, 2018	1.1317	1.1395	1.1402	1.1304	-0.67%"
"Nov 29, 2018	1.1393	1.1367	1.1403	1.1348	0.24%"
"Nov 28, 2018	1.1366	1.1291	1.1387	1.1264	0.69%"
"Nov 27, 2018	1.1288	1.1326	1.1344	1.1276	-0.35%"
"Nov 26, 2018	1.1328	1.1343	1.1385	1.1323	-0.11%"
"Nov 23, 2018	1.1341	1.1403	1.1422	1.1325	-0.59%"
"Nov 22, 2018	1.1408	1.1382	1.1434	1.1378	0.20%"
"Nov 21, 2018	1.1385	1.1371	1.1426	1.1363	0.12%"
"Nov 20, 2018	1.1371	1.1453	1.1473	1.1357	-0.72%"
"Nov 19, 2018	1.1453	1.1403	1.1467	1.1393	0.29%"
"Nov 16, 2018	1.142	1.133	1.1423	1.132	0.81%"
"Nov 15, 2018	1.1328	1.1309	1.1364	1.1271	0.16%"
"Nov 14, 2018	1.131	1.129	1.1349	1.1262	0.17%"
"Nov 13, 2018	1.1291	1.1219	1.1296	1.1216	0.65%"
"Nov 12, 2018	1.1218	1.1331	1.1333	1.1214	-1.04%"
"Nov 09, 2018	1.1336	1.1364	1.1371	1.1315	-0.24%"
"Nov 08, 2018	1.1363	1.1425	1.1448	1.1352	-0.55%"
"Nov 07, 2018	1.1426	1.1427	1.1502	1.1395	-0.01%"
"Nov 06, 2018	1.1427	1.1406	1.144	1.1389	0.18%"
"Nov 05, 2018	1.1407	1.1391	1.1425	1.1356	0.18%"
"Nov 02, 2018	1.1387	1.1408	1.1458	1.1372	-0.19%"
"Nov 01, 2018	1.1409	1.1311	1.1426	1.1306	0.86%"
"Oct 31, 2018	1.1312	1.1345	1.1363	1.1301	-0.28%"
"Oct 30, 2018	1.1344	1.1372	1.1387	1.1338	-0.25%"
"Oct 29, 2018	1.1373	1.1408	1.1418	1.1361	-0.26%"
"Oct 26, 2018	1.1403	1.1376	1.1422	1.1334	0.24%"
"Oct 25, 2018	1.1376	1.1392	1.1434	1.1355	-0.14%"
"Oct 24, 2018	1.1392	1.147	1.1477	1.1378	-0.69%"
"Oct 23, 2018	1.1471	1.1466	1.1495	1.1438	0.05%"
"Oct 22, 2018	1.1465	1.1507	1.1552	1.1455	-0.43%"
"Oct 19, 2018	1.1515	1.1451	1.1536	1.1433	0.54%"
"Oct 18, 2018	1.1453	1.15	1.1528	1.1448	-0.42%"
"Oct 17, 2018	1.1501	1.1575	1.1585	1.1495	-0.64%"
"Oct 16, 2018	1.1575	1.158	1.1623	1.1564	-0.03%"
"Oct 15, 2018	1.1579	1.1559	1.1608	1.1537	0.14%"
"Oct 12, 2018	1.1563	1.1592	1.1611	1.1534	-0.27%"
"Oct 11, 2018	1.1594	1.1519	1.16	1.1517	0.64%"
"Oct 10, 2018	1.152	1.1491	1.1547	1.1479	0.26%"
