Avg Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
34.49726773,12.65565115,39.57766802,4.082620633,587.951054
31.92627203,11.10946073,37.26895887,2.664034182,392.2049334
33.00091476,11.33027806,37.11059744,4.104543202,487.5475049
34.30555663,13.71751367,36.72128268,3.120178783,581.852344
33.33067252,12.79518855,37.5366533,4.446308318,599.406092
33.87103788,12.02692534,34.47687763,5.493507201,637.1024479
32.0215955,11.36634831,36.68377615,4.685017247,521.5721748
32.73914294,12.35195897,37.37335886,4.434273435,549.9041461
33.9877729,13.38623528,37.53449734,3.273433578,570.200409
31.93654862,11.81412829,37.14516822,3.202806072,427.1993849
33.99257277,13.33897545,37.22580613,2.482607771,492.6060127
33.87936082,11.584783,37.08792607,3.713209203,522.3374046
29.53242897,10.9612984,37.42021558,4.046423164,408.6403511
33.19033404,12.95922609,36.1446667,3.918541839,573.4158673
32.38797585,13.14872569,36.61995708,2.494543647,470.4527333
30.73772037,12.63660605,36.21376309,3.357846842,461.7807422
32.1253869,11.73386169,34.89409275,3.136132716,457.8476959
32.33889932,12.01319469,38.38513659,2.420806161,407.7045475
32.18781205,14.71538754,38.24411459,1.516575581,452.3156755
32.61785606,13.98959256,37.1905038,4.06454855,605.0610388
32.91278511,11.36549203,37.60779252,4.599937358,534.7057438
33.50308726,12.8779837,37.44102134,1.55915194,419.9387748
31.53160448,13.37856278,38.73400629,2.245147787,436.5156057
32.90325097,11.65757592,36.77260376,3.919302309,519.3409891
34.507551,12.8936695,37.63575588,5.705153971,700.9170916
33.02933195,11.76581265,37.73852495,2.721735992,423.1799917
33.54123131,12.78389178,36.43064962,4.648199316,619.8956399
32.33598964,13.00781942,37.85177917,2.996364526,486.8389348
33.11020506,11.98204499,35.29308775,3.923488746,529.5376653
33.10543794,11.96502,37.27781174,4.74257752,554.7220838
33.24190043,12.30541781,36.16364817,3.062368145,497.5866713
33.4610563,10.86916381,35.62244242,3.471413452,447.6879065
32.17550124,13.38749211,35.69417499,4.343062915,588.7126055
32.72836,13.10450724,38.87804051,2.820097234,491.0732237
32.82030995,11.63489325,35.36862633,4.124585297,507.4418323
33.61603789,11.9363865,38.768641,3.649286158,521.8835732
31.72165236,11.7550237,36.76572236,1.847370423,347.7769266
32.86532717,11.98441752,37.0443614,3.452388583,490.7386321
32.74936818,9.954975969,37.38831487,4.650491269,478.1703341
32.56723048,12.48901322,36.37147981,4.222436225,537.8461953
32.07054622,11.73310622,37.53429101,4.671275461,532.7517876
33.01954799,10.63456132,37.49669015,4.646119977,501.8744303
33.79203908,12.50752537,37.14286198,4.214495086,591.1971782
32.89398062,11.52987821,36.88808605,4.64325855,547.2443434
32.04448613,13.41493474,36.11243501,2.258686387,448.2298292
34.55576799,12.17052542,39.13109673,3.663105491,549.8605905
34.56455771,13.14655143,37.33544589,3.876875177,593.915003
32.7267846,12.98851015,36.46200326,4.113226123,563.6728734
33.11721873,11.86412636,36.58272777,3.202531199,479.7319491
31.66104982,11.39806419,36.5944567,3.198399272,416.3583536
33.25633547,13.85806246,37.78026469,5.976768126,725.5848141
33.90022441,10.95679097,37.26687826,2.952668958,442.6672517
34.18777483,10.32011626,37.4534051,2.094891706,384.6265716
33.76206924,9.984514397,35.9334493,3.855471685,451.4574469
34.39016366,12.64519514,38.46832111,2.87459691,522.4041413
33.9252966,11.58865542,35.25224202,3.392050489,483.673308
32.6882293,13.76153285,39.25293095,2.995761183,520.8987945
34.30187022,10.56829469,36.17312563,3.315224754,453.1695024
32.84393022,11.83228622,36.81401056,3.471919137,496.6507081
33.75499473,12.06415663,37.27122169,3.970555628,547.3651406
33.87978429,12.4955916,38.05260975,4.639320332,616.851523
33.07653561,9.607314688,36.49399255,5.081210092,507.212569
32.22729914,13.72862718,37.99702801,4.802630631,613.5993234
32.78977262,11.67006592,37.40874848,3.414688423,483.1597208
32.77260993,13.27631301,36.60077705,3.462298847,540.2634004
34.37425805,15.12699429,37.15762409,5.377593584,765.5184619
33.07871721,12.69578975,35.35844431,4.001786346,553.6015347
32.8052204,11.83547609,36.37506611,3.43959056,469.3108615
32.43075793,11.30623234,37.68040323,2.779520719,408.6201878
32.17909997,11.18753891,40.00518164,3.552649767,451.5756852
33.15417579,11.88749413,36.2650007,2.602287112,444.9665517
34.33589584,12.22893471,36.15719115,4.694322274,595.8228367
32.38625186,10.67465347,38.00658318,3.401522345,418.1500811
32.80869759,12.81711309,37.03153922,3.8515788,534.7771881
33.87974497,13.58780608,38.26035344,3.258112883,578.2416051
32.04983939,12.23805735,38.73086174,3.120568915,478.7193569
33.55520742,11.55182117,36.62883429,2.837943164,444.2859075
33.14207933,11.43337993,35.89243163,4.470282584,544.7798637
32.59718266,10.88956686,38.21257083,4.442054329,488.7860611
33.16713688,11.92884209,36.91463331,3.164943995,475.7590678
31.51473786,12.59567131,39.60037647,3.751734552,489.812488
34.59402115,10.94725858,35.88399439,3.159754444,462.8976362
33.50136982,13.89808199,37.05891282,4.130562809,596.4301726
32.40237102,10.87555955,37.78114256,1.914089924,338.3198626
34.65548568,10.3380727,36.15725594,4.396651901,533.5149353
31.80930032,11.63466822,36.18253928,5.113319475,536.7718994
33.8777793,12.51766629,37.15192066,2.669941624,487.379306
34.44787144,10.60772387,36.81909551,3.366463743,473.7289665
31.95630056,12.8288934,36.95161668,4.571213024,547.1259317
32.60558364,12.06881608,36.1050005,3.917451119,505.1133435
32.4914466,12.53035737,37.8752191,2.476139051,449.0703194
33.61601855,13.5162843,36.77312349,4.125584363,611.0000251
33.47160053,11.66226343,36.05024078,3.997255378,515.8288149
33.71065306,13.66474788,37.72438616,1.36267408,439.0747667
32.1977238,11.83023109,36.6338567,4.193324636,514.0889577
32.46121245,13.29114305,38.63362565,3.8710034,543.3401663
33.79038721,11.94234087,38.06341359,4.081802695,521.1429518
34.18382052,13.34991294,37.82739423,4.252006106,614.7153338
32.28866691,12.02011209,39.07440021,3.911708668,507.3900618
33.82635201,12.08409173,35.89035796,3.021671822,495.2994425
32.49839307,13.41075918,35.99048895,3.184618662,518.064558
31.8854063,11.28193107,37.38531755,2.877224878,390.103273
32.42569728,11.44890154,37.58019043,2.586967985,420.7376732
33.43782956,12.59542035,36.2620318,2.969640227,492.1050524
31.38958548,10.99422392,38.07445242,3.428859904,410.0696111
33.46869995,13.08550576,35.84582711,2.926940235,497.5136833
32.2917561,12.19047429,36.15246209,3.781823039,494.5518611
32.06377462,10.71914974,37.71250864,3.004742536,378.3309069
33.1556997,12.93155027,38.16643556,3.854473856,570.4517259
33.35687434,13.45212896,38.50300885,3.318822279,549.0082269
31.8530748,12.14937549,37.32533422,3.361814624,459.2851235
32.01230077,12.17833133,37.71598618,3.722561173,492.9450531
32.38845163,11.01048213,38.41504158,3.54354705,424.7626355
32.65318146,11.60253219,37.30968877,2.789461516,422.4267759
