date,a,b,c
2022-03-01,12000,50,60
2022-03-02,27000,90,990
2022-03-03,19000,17,750
2022-03-04,70000,60,900
2022-03-05,6000,7,810
2022-03-06,10000,98,730
2022-03-07,41000,21,710
2022-03-08,80000,76,200
2022-03-09,78000,46,200
2022-03-10,74000,67,50
2022-03-11,13000,20,70
2022-03-12,9000,8,100
2022-03-13,44000,56,350
2022-03-14,44000,34,370
2022-03-15,39000,29,420
2022-03-16,21000,37,920
2022-03-17,59000,1,480
2022-03-18,19000,17,850
2022-03-19,74000,34,730
2022-03-20,6000,89,100
2022-03-21,67000,37,70
2022-03-22,74000,12,70
2022-03-23,31000,43,340
2022-03-24,12000,13,850
2022-03-25,94000,81,930
2022-03-26,85000,7,650
2022-03-27,17000,89,230
2022-03-28,97000,69,790
2022-03-29,47000,54,970
2022-03-30,72000,27,600
2022-03-31,80000,17,370
