date,value
7/1/1991,3.526591
8/1/1991,3.180891
9/1/1991,3.252221
10/1/1991,3.611003
11/1/1991,3.565869
12/1/1991,4.306371
1/1/1992,5.088335
2/1/1992,2.81452
3/1/1992,2.985811
4/1/1992,3.20478
5/1/1992,3.127578
6/1/1992,3.270523
7/1/1992,3.73785082
8/1/1992,3.55877609
9/1/1992,3.77720173
10/1/1992,3.92449042
11/1/1992,4.38653092
12/1/1992,5.81054917
1/1/1993,6.19206769
2/1/1993,3.45085699
3/1/1993,3.77230686
4/1/1993,3.7343029
5/1/1993,3.90539892
6/1/1993,4.04968714
7/1/1993,4.31556552
8/1/1993,4.56218455
9/1/1993,4.60866203
10/1/1993,4.66785129
11/1/1993,
12/1/1993,
1/1/1994,
2/1/1994,
3/1/1994,
4/1/1994,
5/1/1994,
6/1/1994,
7/1/1994,
8/1/1994,
9/1/1994,
10/1/1994,
11/1/1994,
12/1/1994,
1/1/1995,
2/1/1995,4.21606735
3/1/1995,4.94934946
4/1/1995,4.8230449
5/1/1995,5.19475419
6/1/1995,5.17078711
7/1/1995,5.25674157
8/1/1995,5.85527729
9/1/1995,5.49072901
10/1/1995,6.11529323
11/1/1995,6.08847284
12/1/1995,7.41659792
1/1/1996,8.32945212
2/1/1996,5.06979585
3/1/1996,5.26255667
4/1/1996,5.59712628
5/1/1996,6.110296
6/1/1996,5.68916084
7/1/1996,6.48684933
8/1/1996,6.30056933
9/1/1996,6.46747574
10/1/1996,6.82862939
11/1/1996,
12/1/1996,
1/1/1997,
2/1/1997,
3/1/1997,
4/1/1997,
5/1/1997,
6/1/1997,
7/1/1997,
8/1/1997,
9/1/1997,
10/1/1997,
11/1/1997,
12/1/1997,
1/1/1998,8.79851303
2/1/1998,5.91826076
3/1/1998,6.53449298
4/1/1998,6.67573561
5/1/1998,7.06420058
6/1/1998,7.38338118
7/1/1998,7.81349587
8/1/1998,7.43189221
9/1/1998,8.27511722
10/1/1998,8.26044138
11/1/1998,8.59615575
12/1/1998,10.55893902
1/1/1999,10.3914156
2/1/1999,6.42153456
3/1/1999,8.06261937
4/1/1999,7.2977391
5/1/1999,7.93691594
6/1/1999,8.16532298
7/1/1999,8.71742046
8/1/1999,9.07096378
9/1/1999,9.17711337
10/1/1999,9.25188674
11/1/1999,9.93313643
12/1/1999,11.53297428
1/1/2000,12.51146235
2/1/2000,7.45719853
3/1/2000,8.59119084
4/1/2000,8.47400037
5/1/2000,9.3868026
6/1/2000,9.56039945
7/1/2000,10.8342948
8/1/2000,10.64375083
9/1/2000,9.90816186
10/1/2000,11.7100413
11/1/2000,11.34015074
12/1/2000,12.07913184
1/1/2001,14.49758109
2/1/2001,8.04927477
3/1/2001,10.31289116
4/1/2001,9.75335821
5/1/2001,10.85038183
6/1/2001,9.96171916
7/1/2001,11.44360144
8/1/2001,11.65923889
9/1/2001,
10/1/2001,
11/1/2001,
12/1/2001,
1/1/2002,
2/1/2002,
3/1/2002,
4/1/2002,
5/1/2002,
6/1/2002,
7/1/2002,12.84456587
8/1/2002,12.19649985
9/1/2002,12.85474787
10/1/2002,13.54200436
11/1/2002,13.28764
12/1/2002,15.13491784
1/1/2003,16.82834968
2/1/2003,9.80021461
3/1/2003,10.81699371
4/1/2003,10.65422256
5/1/2003,12.51232269
6/1/2003,12.16120969
7/1/2003,12.9980462
8/1/2003,12.51727568
9/1/2003,13.26865761
10/1/2003,14.73362169
11/1/2003,13.66938174
12/1/2003,16.50396561
1/1/2004,18.00376795
2/1/2004,11.93802987
3/1/2004,12.9979001
4/1/2004,12.88264507
5/1/2004,13.94344681
6/1/2004,13.9894722
7/1/2004,15.33909742
8/1/2004,15.37076394
9/1/2004,16.142005
10/1/2004,16.685754
11/1/2004,17.636728
12/1/2004,18.869325
1/1/2005,20.778723
2/1/2005,12.154552
3/1/2005,13.402392
4/1/2005,14.459239
5/1/2005,14.795102
6/1/2005,15.705248
7/1/2005,15.82955
8/1/2005,17.554701
9/1/2005,18.100864
10/1/2005,17.496668
11/1/2005,19.347265
12/1/2005,20.031291
1/1/2006,23.486694
2/1/2006,12.536987
3/1/2006,15.467018
4/1/2006,14.233539
5/1/2006,17.783058
6/1/2006,16.291602
7/1/2006,16.980282
8/1/2006,18.612189
9/1/2006,16.623343
10/1/2006,21.430241
11/1/2006,23.575517
12/1/2006,23.334206
1/1/2007,28.038383
2/1/2007,16.763869
3/1/2007,19.792754
4/1/2007,16.427305
5/1/2007,21.000742
6/1/2007,20.681002
7/1/2007,21.83489
8/1/2007,23.93020353
9/1/2007,22.93035694
10/1/2007,23.26333992
11/1/2007,25.25003022
12/1/2007,25.80609
1/1/2008,29.665356
2/1/2008,21.654285
3/1/2008,18.264945
4/1/2008,23.107677
5/1/2008,22.91251
6/1/2008,19.43174
