Community Area Name,Community Area Number,Property Type,Property Name,Address,Zip Code,Phone Number,Management Company,Units,X Coordinate,Y Coordinate,Latitude,Longitude,Location,Historical Wards 2003-2015,Wards,Community Areas,Zip Codes,Census Tracts
Portage Park,15,ARO,4812-15 W. Montrose Apts.,4812-15 W. Montrose Ave.,60641,630-694-6968,@properties,2,,,,,,,,,,
West Englewood,67,Multifamily,New West Englewood Homes,2109 W. 63rd St.,60636,773-434-4929,Interfaith Housing Corp.,12,,,,,,,,,,
Englewood,68,Multifamily,Antioch Homes II,301 W. Marquette Road,60621,773-994-4546,"Universal Management Service, Inc.",69,1175444.8128505,1860492.08380492,41.7725637689,-87.6324193182,"{'latitude': '41.7725637689', 'longitude': '-87.6324193182', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31,32,66,21559,479
Washington Park,40,Senior HUD 202,St. Edmund's Corners,5556 S. Michigan Ave.,60637,773-667-7583,St. Edmund's Redevelopment Corp.,53,1178070.44297855,1867951.67674172,41.7929745219,-87.6225685185,"{'latitude': '41.7929745219', 'longitude': '-87.6225685185', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,4,7,22260,403
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,526 N. Troy St.,60624,773-227-6332,Bickerdike Apts.,6,1155237.9587949,1903558.99055611,41.8911727354,-87.7053383382,"{'latitude': '41.8911727354', 'longitude': '-87.7053383382', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",41,46,24,21184,177
Grand Boulevard,38,Senior,Evans Langley,727 E. 50th Pl,60615,312-368-8610,"Metroplex, Inc.",60,1182079.07958679,1871653.12590291,41.8030397258,-87.6077548852,"{'latitude': '41.8030397258', 'longitude': '-87.6077548852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,10,4,21192,165
Uptown,3,Multifamily,Magnolia Court Apts.,4878 N. Magnolia Ave.,60640,773-878-2186,"Park, Inc.",60,1167014.08730626,1932819.27309105,41.9712198343,-87.6612480605,"{'latitude': '41.9712198343', 'longitude': '-87.6612480605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",37,18,31,22616,633
South Shore,43,Multifamily,Jeffrey Towers Apts.,7020 S. Jeffrey Blvd.,60649,872-777-4924,Interfaith Housing Corp.,136,1190721.26319827,1858722.62939985,41.7673529546,-87.5764779584,"{'latitude': '41.7673529546', 'longitude': '-87.5764779584', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,33,39,22538,381
North Center,5,ARO,The Henry,1819 W. Montrose Ave.,60613,855-443-5287,FLATS Leasing,4,,,,,,,,,,
Near West Side,28,Multifamily,Near West Side Apts.,216 S. Hoyne Ave.,60612,312-738-2280,Baker-Simmons Apartments,84,1162403.56726474,1898857.88946419,41.8781255904,-87.6791541271,"{'latitude': '41.8781255904', 'longitude': '-87.6791541271', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,46,29,21184,89
