auctionid,bid,bidtime,bidder,bidderrate,openbid,price,item,auction_type
1638893549,-1,2.230949,schadenfreud,0,99,177.5,Cartier wristwatch,3 day auction
1638893549,100,2.600116,chuik,0,99,177.5,Cartier wristwatch,3 day auction
1638893549,120,2.60081,kiwisstuff,2,99,177.5,Cartier wristwatch,3 day auction
1638893549,150,2.601076,kiwisstuff,2,99,177.5,Cartier wristwatch,3 day auction
1638893549,177.5,2.909826,eli.flint@flightsafety.co,4,99,177.5,Cartier wristwatch,3 day auction
1639453840,1,0.355856,bfalconb,2,1,355,Cartier wristwatch,3 day auction
1639453840,1.25,0.484757,sbord,1,1,355,Cartier wristwatch,3 day auction
1639453840,1.5,0.492639,bfalconb,2,1,355,Cartier wristwatch,3 day auction
1639453840,18,0.49463,sbord,1,20,355,Cartier wristwatch,3 day auction
1639453840,2,0.511169,bfalconb,2,1,355,Cartier wristwatch,3 day auction
1639453840,5,0.511308,bfalconb,2,1,355,Cartier wristwatch,3 day auction
1639453840,10,0.511458,bfalconb,2,1,355,Cartier wristwatch,3 day auction
1639453840,20,0.511644,bfalconb,2,1,355,Cartier wristwatch,3 day auction
1639453840,50,0.511759,bfalconb,2,1,355,Cartier wristwatch,3 day auction
1639453840,30,0.772928,veuvenoire,1,1,355,Cartier wristwatch,3 day auction
1639453840,50,1.39353,norcal_datsun,15,1,355,Cartier wristwatch,3 day auction
1639453840,100,1.393623,norcal_datsun,15,1,355,Cartier wristwatch,3 day auction
1639453840,75,1.516979,kat2911,0,1,355,Cartier wristwatch,3 day auction
1639453840,100,1.517442,kat2911,0,1,355,Cartier wristwatch,3 day auction
1639453840,103.5,1.517685,kat2911,0,1,355,Cartier wristwatch,3 day auction
1639453840,200,2.107708,babaranda,1,1,355,Cartier wristwatch,3 day auction
1639453840,120,2.2286,kat2911,0,1,355,Cartier wristwatch,3 day auction
1639453840,130,2.229028,kat2911,0,1,355,Cartier wristwatch,3 day auction
1639453840,150,2.229479,kat2911,0,1,355,Cartier wristwatch,3 day auction
