date,value
1875-01-01,213.1333333
1876-01-01,109.2833333
1877-01-01,92.85833333
1878-01-01,22.21666667
1879-01-01,36.33333333
1880-01-01,446.75
1881-01-01,679.4916667
1882-01-01,968.025
1883-01-01,1148.908333
1884-01-01,1034.125
1885-01-01,810.2083333
1886-01-01,379.4083333
1887-01-01,177.2583333
1888-01-01,87.925
1889-01-01,76.69166667
1890-01-01,98.76666667
1891-01-01,566.4416667
1892-01-01,1211.275
1893-01-01,1460.625
1894-01-01,1281.541667
1895-01-01,973.4333333
1896-01-01,547.3916667
1897-01-01,511.65
1898-01-01,374.6583333
1899-01-01,109.9833333
1/1/1900,74.30833333
1/1/1901,27.85833333
1/1/1902,59.475
1/1/1903,338.6
1/1/1904,488.175
1/1/1905,1195.883333
1/1/1906,774.9833333
1/1/1907,1092.108333
1/1/1908,697.4833333
1/1/1909,691.525
1/1/1910,266.0083333
1/1/1911,64.40833333
1/1/1912,37.33333333
1/1/1913,7.525
1/1/1914,152.3833333
1/1/1915,697.7666667
1/1/1916,725.4583333
1/1/1917,1533.925
1/1/1918,1112.566667
1/1/1919,1054.683333
1/1/1920,617.2583333
1/1/1921,419.6166667
1/1/1922,251.9583333
1/1/1923,54.65833333
1/1/1924,278.0083333
1/1/1925,825.075
1/1/1926,1263.15
1/1/1927,1060.8
1/1/1928,1388.916667
1/1/1929,1238.916667
1/1/1930,516.6083333
1/1/1931,279.0666667
1/1/1932,163.15
1/1/1933,91.25
1/1/1934,118.225
1/1/1935,622.075
1/1/1936,1140.841667
1/1/1937,2072.775
1/1/1938,2015.233333
1/1/1939,1576.833333
1/1/1940,1037.166667
1/1/1941,658.125
1/1/1942,427.3333333
1/1/1943,296.7666667
1/1/1944,124.65
1/1/1945,426.5
1/1/1946,1823.9
1/1/1947,2634.05
1/1/1948,1974.6
1/1/1949,2139.991667
1/1/1950,1227.341667
1/1/1951,1135.258333
1/1/1952,402.85
1/1/1953,145.1
1/1/1954,34.64166667
1/1/1955,552.35
1/1/1956,2394.691667
1/1/1957,3048.475
1/1/1958,3011.266667
1/1/1959,2872.941667
1/1/1960,1641.216667
1/1/1961,613.5
1/1/1962,463.5166667
1/1/1963,287.8333333
1/1/1964,53.90833333
1/1/1965,113.3083333
1/1/1966,592.5583333
1/1/1967,1519.141667
1/1/1968,1569.758333
1/1/1969,1450.133333
1/1/1970,1601.258333
1/1/1971,990.2
1/1/1972,916.7
1/1/1973,457.55
1/1/1974,398.8583333
1/1/1975,166.4083333
1/1/1976,169.775
1/1/1977,347.0416667
1/1/1978,1368.516667
1/1/1979,2194.525
1/1/1980,2160.716667
1/1/1981,2270.241667
1/1/1982,2283.3
1/1/1983,944
1/1/1984,811.3166667
1/1/1985,180.15
1/1/1986,124.7
1/1/1987,296.8166667
1/1/1988,1352.191667
1/1/1989,2579.225
1/1/1990,2048.683333
1/1/1991,2470.183333
1/1/1992,1349.208333
1/1/1993,696.2
1/1/1994,340.3916667
1/1/1995,159.6333333
1/1/1996,81.9
1/1/1997,210.2416667
1/1/1998,763.075
1/1/1999,1162.008333
1/1/2000,1614.216667
1/1/2001,1704.091667
1/1/2002,1828.733333
1/1/2003,1099.241667
1/1/2004,683.775
1/1/2005,542.575
1/1/2006,245.1083333
1/1/2007,133.3416667
1/1/2008,22.80833333
1/1/2009,26.55833333
1/1/2010,214.2916667
1/1/2011,749.5666667
